feature,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14.40. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ДЕЯТЕЛЬНОСТИ «ЛЕСОЗАГОТОВКИ» 14.40.1. Число предприятий и организаций2),,,,,,79,68,63,61,64,67,60,59,56,56,55,47,29,27,
14.40.  14.40.2. Среднегодовая численность работников организаций,,,,,,1363,828,848,875,683,636,180,150,167,239,218,236,181,694,
14.40. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ДЕЯТЕЛЬНОСТИ «ЛЕСОЗАГОТОВКИ»  14.40.3. Сальдированный финансовый результат (прибыль минус убыток)  деятельности организаций2),,,,,,-,-,-,-,-, - ,-,-, - ,-,-,-,-,-,
14.40. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ДЕЯТЕЛЬНОСТИ «ЛЕСОЗАГОТОВКИ» 14.40.4. Удельный вес убыточных  организаций в общем числе организаций по виду экономической деятельности Лесозаготовки2),,,,,,-,-,-,-,-,-,-,-, - ,-,-,-,-,-,
ЛЕСНОЕ ХОЗЯЙСТВО 14.41. ПРОИЗВОДСТВО  ЛЕСОМАТЕРИАЛОВ НЕОБРАБОТАННЫХ (тысяч плотных кубических метров),,,,,,,,,,,237.7,258.9,261.9,258.9,491.6,533.6,565.3,618.93,719.93,
14.42. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ РЫБОЛОВСТВО  14.42.1. Число предприятий и организаций2),,,,,,23,28,31,30,31,32,34,35,34,32,28,29,27,25,
14.42. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ РЫБОЛОВСТВО  14.42.2. Среднегодовая численность работников организаций,,,,,,192,125,332,234,219,255,156,174,121,98,118,43,166,54,
14.42. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ РЫБОЛОВСТВО  14.42.3. Сальдированный финансовый результат ( прибыль минус убыток) деятельности организаций2),,,,,,2,3,-1,-1,0,1,-,-,-,-,-,-4,-,-,
14.42. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ РЫБОЛОВСТВО  14.42.4. Удельный вес убыточных организаций в общем числе организаций по виду экономической деятельности Рыболовство2),,,,,,33.3,33.3,50,50,-,-,-,-,-,-,-,100,-,-,
14.43.ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ РЫБОВОДСТВО  14.43.1. Число предприятий и организаций2),,,,,,25,19,23,23,19,18,19,19,21,24,30,33,34,39,
14.43. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ РЫБОВОДСТВО  14.43.2. Среднегодовая численность работников организаций,,,,,,40,96,74,101,53,54,95,106,109,104,89,167,50,54,
14.43. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ РЫБОВОДСТВО  14.43.3. Сальдированный финансовый результат ( прибыль минус убыток) деятельности организаций2),,,,,,-1,-0.1,-1,-,-,-,0.2,-,-,-29,-,-,-,-,
14.43. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ РЫБОВОДСТВО  14.43.4. Удельный вес убыточных организаций в общем числе организаций по виду экономической деятельности Рыбоводство2),,,,,,100,100,100,-,-,-,-,-,-,100,-,-,-,-,
РЫБОЛОВСТВО И РЫБОВОДСТВО 14.44. УЛОВ РЫБЫ И ДОБЫЧА ДРУГИХ ВОДНЫХ БИОРЕСУРСОВ (тонн),,,,,,,,,,,,,,,,,2296,2485,3827,
10.1. СТОИМОСТЬ ОСНОВНЫХ ФОНДОВ  (на конец года; по полной учетной стоимости; миллионов рублей),503844,564012,681153,854943,929381,1090879,1236737,1586177.0,1802843.0,2132421.0,2526863.0,3461464.0,3110418.0,3342559.0,3431206.0,3921931.0,4256272.0,4658900.0,5033940.0,
10.2. ВВОД В ДЕЙСТВИЕ ОСНОВНЫХ ФОНДОВ  (миллионов рублей),29953,43181,52253,56017,60106,90973,112465,114152.0,164930.0,139318.0,164102.0,294825.0,228432.0,292503.0,321173.0,386102.0,348623.0,400433.0,409414.0,
10.3. СТЕПЕНЬ ИЗНОСА ОСНОВНЫХ ФОНДОВ  (на конец года; в процентах),40.704947322703376,41.51737442727011,44.2411929559708,42.44750861798809,40.9,42.6,44.95973725900751,43.82634115267264,42.55203194330007,43.1416007540853,44.5,42.3,43.7,43.4,44.2,44.4,45.2,45.2,45.6,
10.4. УДЕЛЬНЫЙ ВЕС ПОЛНОСТЬЮ ИЗНОШЕННЫХ ОСНОВНЫХ ФОНДОВ В ИХ ОБЩЕМ ОБЪЕМЕ  (на конец года; по полной учетной стоимости; в процентах),14.9,15.8,23.9,18.2,17.6,15.2,17.2,17.0,15.8,15.1,14.6,13.5,13.5,14.3,14.5,14.8,15.9,17.7,19.7,
РОЗНИЧНАЯ ТОРГОВЛЯ 16.1. ОБОРОТ РОЗНИЧНОЙ ТОРГОВЛИ (в фактически действовавших ценах; миллионов рублей),44814.825,61218.44,74576.838,96969.837,121736.562,161441.0,213946.3,276459.2,369299.3,393903.6,454393.5,534877.3,650696.8,712966.7,781014.2,776236.0,801642.4,843942.5,916973.5,
РОЗНИЧНАЯ ТОРГОВЛЯ 16.2. ИНДЕКСЫ ФИЗИЧЕСКОГО ОБЪЕМА ОБОРОТА РОЗНИЧНОЙ ТОРГОВЛИ (в сопоставимых ценах; в процентах к предыдущему году),105.21863272760062,114.5656615635833,107.23256841903907,117.13486258126538,116.03757131298073,123.4,125.30531685317732,121.6,119.9,97.9,108.9,109.1,116.4,103.8,102.3,87.2,98.0,102.8,106.1,
РОЗНИЧНАЯ ТОРГОВЛЯ 16.3. ОБОРОТ РОЗНИЧНОЙ ТОРГОВЛИ на душу населения (в фактически действовавших ценах; рублей),11829.7983264261,16176.524680266357,19730.366156939523,25684.74773175511,32285.418693292057,42881.0,56865.025690040246,73429.86957036788,97953.42468950854,104235.0976133318,120020.0,140930.0,170670.0,186147.0,203038.0,200999.0,206769.21870595007,216964.73928522214,235335.26363444113,
РОЗНИЧНАЯ ТОРГОВЛЯ 16.4. ПРОДАЖА ТОВАРОВ НА РОЗНИЧНЫХ РЫНКАХ И ЯРМАРКАХ (в фактически действовавших ценах; миллионов рублей),12085.349,15246.079,18300.37,22491.856,22472.527,23120.8,23020.2,22790.7,30198.4,32360.4,41052.5,48148.1,56658.3,67176.6,63261.6,60962.5,62708.69999999995,62554.90000000002,65121.6,
РОЗНИЧНАЯ ТОРГОВЛЯ 16.5. ОБОРОТ РОЗНИЧНОЙ ТОРГОВЛИ ПО ТОРГОВЫМ СЕТЯМ  (в фактически действовавших ценах; в процентах от общего объема оборота розничной торговли субъекта Российской Федерации),,,,,,,,,,15.5,16.3,18.6,19.1,20.1,21.5,23.4,26.3,26.5,28.4,
"16.6. СТРУКТУРА ОБОРОТА РОЗНИЧНОЙ ТОРГОВЛИ 16.6.1.  Пищевые продукты, включая напитки, и табачные изделия",56.5,56.8,55.3,54.6,51.9,49.2,46.8,46.7,46.3,49.4,47.0,46.5,41.7,42.7,43.5,47.7,47.2,47.4,44.4,
16.6. СТРУКТУРА ОБОРОТА РОЗНИЧНОЙ ТОРГОВЛИ 16.6.2. Непродовольственные товары,43.5,43.2,44.7,45.4,48.1,50.8,53.2,53.3,53.7,50.6,53.0,53.5,58.3,57.3,56.5,52.3,52.8,52.6,55.6,
РОЗНИЧНАЯ ТОРГОВЛЯ 16.7. ОБОРОТ ОБЩЕСТВЕННОГО ПИТАНИЯ (в фактически действовавших ценах; миллионов рублей),2367.255,4230.999,5351.355,6549.362,7837.558,10543.5,12183.8,15845.6,20460.2,19192.8,21800.3,24307.0,26767.6,31705.8,34184.6,36251.2,37741.2,39997.0,44067.2,
16.8. ОБОРОТ ОПТОВОЙ ТОРГОВЛИ 16.8.1. Всего,68423.60029999999,109953.9046,125866.5537,146328.5717,174737.1462,241471.0,264800.2,343343.1,477687.9,497680.7,647359.0,815224.7,1065022.0,1009264.0,1185028.0,1438646.0,1605582.246,1824241.455,2073837.173,
16.8. ОБОРОТ ОПТОВОЙ ТОРГОВЛИ 16.8.2.  Оборот оптовой торговли организаций оптовой торговли,27986.1119,35895.203799999996,58558.241,74806.6183,97793.8138,161809.0,154946.931,199761.7334,294764.5545,337405.113,346729.0,410499.88,605363.0,643558.0,835637.0,1030854.0,1118163.096,1281840.554,1431966.468,
16.9. ОБЪЕМ ПЛАТНЫХ УСЛУГ НАСЕЛЕНИЮ 16.9.1. Всего,9486.929,13072.0854,19278.042100000002,26351.1721,36555.9176,54914.6446,69612.2413,93325.7718,118482.3272,132938.5001,154128.4179,176247.2352,191119.6344,212334.07640000002,229759.7107,247693.0064,259238.3476,267909.9472,278504.471,
16.9. ОБЪЕМ ПЛАТНЫХ УСЛУГ  16.9.2. На душу населения,2504.270781089143,3454.202885530071,5100.280993703371,6979.729251525539,9694.89433612791,14586.014308278063,18502.315253247103,24788.103455511402,31426.405938009924,35178.2962493702,40710.40098954786,46438.3,50128.4,55438.3,59730.6,64137.6,66865.7,68732.1,71476.4,
16.10. ОБЪЕМ БЫТОВЫХ УСЛУГ НАСЕЛЕНИЮ 16.10.1. Всего,1679.5691000000002,2121.7075,2651.4433,3352.2012,5375.7198,7990.5704000000005,10812.7066,15455.8665,18653.5263,20740.8895,25213.7423,30240.919,32473.5679,34761.1438,36628.2944,39662.4196,40067.437399999995,40838.346,41728.3768,
16.10. ОБЪЕМ БЫТОВЫХ УСЛУГ 16.10.2. На душу населения,443.35694110814876,560.6456769897474,701.4771416477062,887.9095276615424,1425.679858782444,2122.3951285610833,2873.92134656158,4105.207065606854,4947.685477932985,5488.471396605233,6659.781326932863,7968.0,8517.4,9075.8,9522.3,10270.2,10334.6,10498.3,10709.3,
16.11. ОБЪЕМ ТРАНСПОРТНЫХ УСЛУГ НАСЕЛЕНИЮ 16.11.1. Всего,2256.5517,3162.4841,4734.224,6225.1001,7547.467900000001,9724.828300000001,12175.0716,15676.8301,22527.661,25600.6176,27000.5302,31973.4444,34018.088299999996,37103.8865,39231.5539,41180.5175,44139.6719,44363.5906,47391.483100000005,
16.11. ОБЪЕМ ТРАНСПОРТНЫХ УСЛУГ  16.11.2. На душу населения,595.6634110286936,835.6632755522672,1252.506481824435,1648.8645399437303,2001.6431975931914,2583.0356503727144,3236.025859349189,4163.896840907509,5975.265983970939,6774.456680511628,7131.730970505193,8424.5,8922.5,9687.4,10199.0,10663.3,11385.0,11404.5,12162.7,
16.12. ОБЪЕМ ТЕЛЕКОММУНИКАЦИОННЫХ УСЛУГ НАСЕЛЕНИЮ 16.12.1. Всего,1037.5481,1553.0789,3013.032,4214.5885,5757.025799999999,8207.027900000001,10079.6739,13876.189,17732.6006,19867.1419,21071.1275,21395.2455,23101.326399999998,24623.8337,25459.9057,26266.576100000002,26128.5029,26988.392,28250.263300000002,
16.12. ОБЪЕМ ТЕЛЕКОММУНИКАЦИОННЫХ УСЛУГ НАСЕЛЕНИЮ 16.12.2. На душу населения,273.88224269461233,410.3897315294366,797.1405894491771,1116.3331378566322,1526.8049740149936,2179.8889394585517,2679.087767681555,3685.6315449215417,4703.417952379639,5257.259581391017,5565.58006313571,5637.3,6059.2,6429.0,6618.8,6801.5,6739.4,6937.9,7250.2,
16.13. ОБЪЕМ КОММУНАЛЬНЫХ УСЛУГ НАСЕЛЕНИЮ 16.13.1. Всего,1324.5989,2029.6433,2897.2117000000003,4667.7079,6012.0774,11633.0015,13731.6971,15851.850900000001,19375.9546,22166.0434,26808.289800000002,30987.803,34073.2425,40136.986899999996,43230.6001,44582.931,47945.4494,50819.778,57030.6266,
16.13. ОБЪЕМ КОММУНАЛЬНЫХ УСЛУГ 16.13.2. На душу населения,349.6552279386532,536.3183860057077,766.4986771786868,1236.3524948177485,1594.4465071674913,3089.870244324957,3649.7630870893827,4210.383825301957,5139.303295994432,5865.596804650551,7080.953937450401,8164.8,8937.0,10479.4,11238.7,11544.3,12366.6,13064.2,14636.5,
"18.1. ИСПОЛЬЗОВАНИЕ ИНФОРМАЦИОННЫХ И КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ В ОРГАНИЗАЦИЯХ  18.1.1. Организации, использовавшие персональные компьютеры (в процентах от общего числа обследованных организаций  соответствующего субъекта Российской федерации)",,,,83.02571860816944,86.02279544091182,91.8,97.2,96.8,97.5,98.9,98.4,99.07314629258516,98.6,98.5,97.6,96.4,97.2,99.83697424193022,99.60380348652932,
"18.1. ИСПОЛЬЗОВАНИЕ ИНФОРМАЦИОННЫХ И КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ В ОРГАНИЗАЦИЯХ  18.1.2. Организации, использовавшие серверы;2) (в процентах от общего числа обследованных организаций  соответствующего субъекта Российской федерации)",,,,5.234493192133131,6.9586082783443315,9.5,11.659574468085106,13.209144792548688,15.90068674062335,17.248566961959355,20.4,23.847695390781563,22.3,24.5,31.9,56.0,58.0,58.75448320834692,61.12519809825674,
"18.1. ИСПОЛЬЗОВАНИЕ ИНФОРМАЦИОННЫХ И КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ В ОРГАНИЗАЦИЯХ  18.1.3. Организации, использовавшие локальные вычислительные сети (в процентах от общего числа обследованных организаций  соответствующего субъекта Российской федерации)",,,,33.978819969742815,38.57228554289142,46,52.14184397163121,58.79198419418572,67.40623349181195,76.78478374153205,80.7,83.71743486973948,77.5,77.7,72.2,70.3,69.7,65.22660580371699,67.3217115689382,
"18.1. ИСПОЛЬЗОВАНИЕ ИНФОРМАЦИОННЫХ И КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ В ОРГАНИЗАЦИЯХ  18.1.4. Организации, использовавшие глобальные информационные сети (в процентах от общего числа обследованных организаций  соответствующего субъекта Российской федерации)",,,,,,52.4,59.801418439716315,65.50945526390065,78.6053882725832,92.91297550807712,95.6,96.11723446893788,95.8,96.0,95.6,94.9,96.2,98.59797848059993,98.57369255150554,
"18.2. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ В ОРГАНИЗАЦИЯХ 18.2.1. Организации, использовавшие сеть Интернет (в процентах от общего числа обследованных организаций)",,,,35.21936459909229,40.43191361727654,52.2,59.5177304964539,65.48123059554051,78.6053882725832,92.91297550807712,95.4,95.94188376753507,95.7,95.7,95.1,94.0,95.5,98.07629605477666,97.74960380348652,
"18.2. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ В ОРГАНИЗАЦИЯХ 18.2.2. Организации, использовавшие широкополосный доступ к сети Интернет (в процентах от общего числа обследованных организаций)",,,,,,,21.95744680851064,25.74089754445385,39.85736925515055,55.88848358520062,63.8,69.48897795591182,85.4,85.6,82.7,83.2,86.0,89.43593087707858,97.74960380348652,
"18.3. ОРГАНИЗАЦИИ, ИМЕВШИЕ ВЕБ-САЙТ (в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации)",,,,15.461422087745841,21.505698860227955,29,24.170212765957448,23.962743437764605,28.44690966719493,28.322042730588848,32.5,38.8,42.1,46.0,45.1,44.4,50.0,49.250081512879035,52.39302694136292,
18.4. ЧИСЛО ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ на 100 РАБОТНИКОВ 18.4.1. Всего (штук),,,,13.939528989039454,15.071397608180126,23,24.0,25.0,27.0,31.0,32.0,35.0,38.0,42.0,42.0,46.0,45.0,48.0,50.0,
18.4. ЧИСЛО ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ на 100 РАБОТНИКОВ 18.4.2. Число персональных компьютеров с доступом к сети Интернет (штук),,,,2.4110159995847225,3.137797383787643,5,7.0,9.0,10.0,13.0,15.0,18.0,21.0,23.0,26.0,29.0,30.0,31.0,33.0,
"18.5. ИСПОЛЬЗОВАНИЕ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА В ОРГАНИЗАЦИЯХ 18.5.1. Организации, использовавшие системы электронного документооборота (в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации)",,,,,,,,,,,,75.8,69.8,72.2,68.6,69.4,73.3,76.39387023149658,76.90966719492869,
"18.5. ИСПОЛЬЗОВАНИЕ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА В ОРГАНИЗАЦИЯХ 18.5.2. Организации, использовавшие электронный обмен данными между своими и внешними информационными системами, по форматам обмена;2) (в процентах от общего числа обследованных организаций соответствующего субъекта Российской Федерации)",,,,,,,,,,,,39.9,32.8,32.3,61.3,68.8,71.4,71.45418976198239,73.99366085578447,
"18.6. ИСПОЛЬЗОВАНИЕ ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ И СЕТИ ИНТЕРНЕТ В ДОМАШНИХ ХОЗЯЙСТВАХ  18.6.1. Удельный вес домашних хозяйств, имевших персональный компьютер (по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общего числа домашних хозяйств соответствующего субъекта Российской Федерации)",,,,,,,,,,,,,,,75.7,81.4,79.4,78.2,72.8,
"18.6. ИСПОЛЬЗОВАНИЕ ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ И СЕТИ ИНТЕРНЕТ В ДОМАШНИХ ХОЗЯЙСТВАХ  18.6.2. Удельный вес домашних хозяйств, имевших доступ к сети Интернет2) (по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общего числа домашних хозяйств соответствующего субъекта Российской Федерации)",,,,,,,,,,,,,,,76.6,83.1,82.9,84.2,81.8,
"18.6. ИСПОЛЬЗОВАНИЕ ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ И СЕТИ ИНТЕРНЕТ В ДОМАШНИХ ХОЗЯЙСТВАХ  18.6.3. Удельный вес домашних хозяйств, имевших широкополосный доступ к сети Интернет (по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общего числа домашних хозяйств соответствующего субъекта Российской Федерации)",,,,,,,,,,,,,,,70.5,78.8,78.8,83.1,80.2,
"18.7. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ НАСЕЛЕНИЕМ 18.7.1.  Население, использовавшее сеть Интернет2) (по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общей численности населения соответствующего субъекта Российской Федерации)",,,,,,,,,,,,,,,73.4,77.3,84.0,91.2,91.3,
"18.7. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ НАСЕЛЕНИЕМ 18.7.2. Население, использовавшее сеть Интернет каждый день или почти каждый день2) (по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общей численности населения соответствующего субъекта Российской Федерации)",,,,,,,,,,,,,,,51.6,55.9,64.3,65.5,71.7,
18.8. ЧИСЛО ПОДКЛЮЧЕННЫХ АБОНЕНТСКИХ УСТРОЙСТВ МОБИЛЬНОЙ СВЯЗИ на 1000 человек населения (на конец года; штук),17,46,133,206,466,832.1,1102.3,1145.9,1364.6,1360.6,1577.2,1713.1,1689.7,1755.9,1728.2,1756.6,1850.8,1865.1,1855.7,
18.9. ЧИСЛО АКТИВНЫХ АБОНЕНТОВ ФИКСИРОВАННОГО И МОБИЛЬНОГО ШИРОКОПОЛОСНОГО ДОСТУПА К СЕТИ ИНТЕРНЕТ на 100 человек населения  18.9.1. Число активных абонентов фиксированного широкополосного доступа к сети Интернет  (на конец года; единиц),,,,,,,,,,,,18.9,21.8,24.2,22.8,23.9,24.5,25.5,25.7,
18.9. ЧИСЛО АКТИВНЫХ АБОНЕНТОВ ФИКСИРОВАННОГО И МОБИЛЬНОГО ШИРОКОПОЛОСНОГО ДОСТУПА К СЕТИ ИНТЕРНЕТ на 100 человек населения 18.9.2. Число активных абонентов мобильного широкополосного доступа к сети Интернет (на конец года; единиц),,,,,,,,,,,,42.5,48.5,55,61.7,68.7,73.9,84.4,92.2,
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.1. ЧИСЛЕННОСТЬ РАБОЧЕЙ СИЛЫ (по данным выборочных обследований рабочей силы; тысяч человек),1879,1842,1891,1879,1873,1880,1894.0,1921.0,1967.0,1991.0,2026.0,2035.0,2051.0,2042.0,2057,2062.0,2058.0,2044.0,2037.0,
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.2. УРОВЕНЬ УЧАСТИЯ В РАБОЧЕЙ СИЛЕ (по данным выборочных обследований рабочей силы; в процентах),66.7,65,66.3,65.4,64.9,64.9,65.2,65.8,67.1,67.9,69.0,69.6,70.4,70.1,70.9,71.3,71.4,64.2,64.0,
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.3. СРЕДНЕГОДОВАЯ ЧИСЛЕННОСТЬ ЗАНЯТЫХ;2);3) (тысяч человек),1695.1,1702,1722.5,1745.6,1754.3,1773.5,1803.9,1825.5,1814.0,1800.5,1949.3,1948.3,1949.7,1941.5,1947,1950.3,1951.2,1945.1,1944.3,
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.4. ИЗМЕНЕНИЕ СРЕДНЕГОДОВОЙ ЧИСЛЕННОСТИ ЗАНЯТЫХ;2) (в процентах к предыдущему году),101.2,100.4,101.2,101.3,100.5,101.1,101.7,101.2,99.4,99.3,100.6,100.0,100.1,99.6,100.3,100.2,100.0,99.7,100.0,
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.5. УРОВЕНЬ ЗАНЯТОСТИ НАСЕЛЕНИЯ (по данным выборочных обследований рабочей силы; в процентах),61,60.9,62.8,61.1,60.1,60.5,61.5,62.1,63.9,62.2,64.7,66.4,67.5,67.3,68.1,68.5,68.7,62.0,61.9,
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.6. ЧИСЛЕННОСТЬ БЕЗРАБОТНЫХ (по данным выборочных обследований рабочей силы; тысяч человек),159,116,100,125,138,125,105.0,108.0,96.0,168.0,126.0,95.0,85.0,81.0,81,82.0,77.0,71.0,68.0,
ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.7. ЧИСЛЕННОСТЬ ЗАРЕГИСТРИРОВАННЫХ БЕЗРАБОТНЫХ,19.6,18.1,23.1,24.5,27.7,29.4,25.8,24.0,25.5,56.4,37.7,28.6,23.3,17.4,15.2,16.5,14.6,11.8,10.2,
"ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.8. ЧИСЛЕННОСТЬ НЕ ЗАНЯТЫХ ТРУДОВОЙ ДЕЯТЕЛЬНОСТЬЮ ГРАЖДАН, ОБРАТИВШИХСЯ ЗА СОДЕЙСТВИЕМ В ПОИСКЕ ПОДХОДЯЩЕЙ РАБОТЫ В ОРГАНЫ СЛУЖБЫ ЗАНЯТОСТИ НАСЕЛЕНИЯ (тысяч человек)",21.6,19.9,25.0,26.3,30.1,31.3,27.8,26.9,28.4,57.9,38.5,29.9,24.9,18.7,16.7,18.0,16.0,13.1,11.2,
УРОВЕНЬ БЕЗРАБОТИЦЫ 2.9. 1. Уровень безработицы,8.4,6.3,5.3,6.6,7.4,6.7,5.6,5.6,4.9,8.4,6.2,4.7,4.1,4.0,3.9,4.0,3.8,3.5,3.3,
УРОВЕНЬ БЕЗРАБОТИЦЫ 2.9.2. Уровень  зарегистрированной безработицы,1,1,1.2,1.3,1.5,1.6,1.4,1.3,1.3,2.8,1.9,1.4,1.1,0.9,0.7,0.8,0.7,0.6,0.5,
"ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.10. ПОТРЕБНОСТЬ В РАБОТНИКАХ, ЗАЯВЛЕННАЯ РАБОТОДАТЕЛЯМИ В ОРГАНЫ СЛУЖБЫ ЗАНЯТОСТИ НАСЕЛЕНИЯ (на конец года; человек)",17937,18726,13760.0,12938,13190,15005.0,19123,24156,11883.0,6386.0,8918.0,21755.0,28656.0,32523.0,35211,24362.0,26144.0,34764.0,37969.0,
"ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.11. НАГРУЗКА НЕЗАНЯТОГО НАСЕЛЕНИЯ, СОСТОЯЩЕГО НА РЕГИСТРАЦИОННОМ УЧЕТЕ В ОРГАНАХ СЛУЖБЫ ЗАНЯТОСТИ НАСЕЛЕНИЯ, В РАСЧЕТЕ НА ОДНУ ЗАЯВЛЕННУЮ ВАКАНСИЮ (на конец года; человек)",1.2,1.1,1.8,2,2.3,2.1,1.5,1.1,2.4,9.1,4.3,1.4,0.9,0.6,0.5,0.7,0.6,0.4,0.3,
"ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.12. ЧИСЛЕННОСТЬ ИНОСТРАННЫХ ГРАЖДАН, ИМЕВШИХ ДЕЙСТВУЮЩЕЕ РАЗРЕШЕНИЕ НА РАБОТУ;2) (человек)",,,,,,,,,,,,12463.0,18438.0,14517.0,10257,6788,4296,2478.0,2029,
"ЗАНЯТОСТЬ И БЕЗРАБОТИЦА 2.13. ЧИСЛЕННОСТЬ ИНОСТРАННЫХ ГРАЖДАН, ИМЕВШИХ ДЕЙСТВУЮЩИЙ ПАТЕНТ НА ОСУЩЕСТВЛЕНИЕ ТРУДОВОЙ ДЕЯТЕЛЬНОСТИ;2) (на конец года; человек)",,,,,,,,,,,,,,17992.0,29475,24408.0,21840.0,25462.0,25293.0,
КАДРЫ ГОСУДАРСТВЕННЫХ ОРГАНОВ И ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ 2.14. ЧИСЛЕННОСТЬ РАБОТНИКОВ ГОСУДАРСТВЕННЫХ ОРГАНОВ И ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ (человек),30118,29371,31730,33035,33202,31464,32826,34083,33396.0,33504.0,32612.0,31740.0,31232.0,29626.0,44380,43657.0,45988.0,47148.0,47155.0,
КАДРЫ ГОСУДАРСТВЕННЫХ ОРГАНОВ И ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ 2.15. ЧИСЛЕННОСТЬ РАБОТНИКОВ ТЕРРИТОРИАЛЬНЫХ ОРГАНОВ ФЕДЕРАЛЬНЫХ ОРГАНОВ ИСПОЛНИТЕЛЬНОЙ ВЛАСТИ (человек),6336,7102,8386,8716,8458,11055,12337,12800,12857.0,12997.0,12701.0,12068.0,11582.0,10873.0,26191,25208.0,24280.0,25268.0,25008.0,
КАДРЫ ГОСУДАРСТВЕННЫХ ОРГАНОВ И ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ 2.16. ЧИСЛЕННОСТЬ РАБОТНИКОВ ОРГАНОВ ИСПОЛНИТЕЛЬНОЙ ВЛАСТИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ И ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ (человек),21228,19191,19814,20502,20495,15831,14858,15166,14313.0,14078.0,13359.0,13054.0,12993.0,12022.0,10968,11155.0,14233.0,14390.0,14621.0,
ЧИСЛЕННОСТЬ РАБОТНИКОВ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ 2.17.1. Всего,4532,4906,4798,4734,4739,3232,9633,9652,9295,8951,8708.0,,8557.0,8004.0,7903,8124.0,10900.0,11011.0,11125.0,
